No,자료시점,분류,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,분류,계,기소(소계),기소(소계),기소(소계),기소(소계),소년보호송치,가정보호송치,성매매보호송치,아동보호송치,불기소(소계),불기소(소계),불기소(소계),불기소(소계),불기소(소계),기소중지,참고인중지,공소보류
No,자료시점,분류,분류,분류,분류,계,기소(소계),구공판 구속,구공판 불구속,구약식,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,불기소(소계),기소유예,혐의없음,죄가안됨,공소권없음,기소중지,참고인중지,공소보류
No,자료시점,분류,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,2018년,계,계[입력치],계[입력치],계[입력치],"1,755,435","704,758","26,021","160,150","518,587","23,544","19,589",459,"2,782","893,943","268,731","293,558","3,666","327,988","104,930","5,430",0
2,2018년,형법범,형법범계[입력치],형법범계[입력치],형법범계[입력치],"958,949","286,161","19,759","98,863","167,539","19,986","19,487",3,372,"552,628","181,775","212,361","3,382","155,110","75,967","4,345",0
3,2018년,형법범,재산범죄,재산범죄의 계[입력치],재산범죄의 계[입력치],"453,680","125,334","11,114","50,173","64,047","11,018","1,664",0,3,"247,815","111,385","127,404",367,"8,659","64,383","3,463",0
4,2018년,형법범,재산범죄,절도,절도의 소계[입력치],"97,238","32,710","4,311","9,329","19,070","7,514",1,0,0,"54,718","41,799","11,571",72,"1,276","2,195",100,0
5,2018년,형법범,재산범죄,절도,불법사용,664,123,4,27,92,167,0,0,0,357,249,91,4,13,16,1,0
6,2018년,형법범,재산범죄,절도,절도,"93,604","30,688","3,659","8,158","18,871","7,230",1,0,0,"53,472","40,924","11,359",66,"1,123","2,114",99,0
7,2018년,형법범,재산범죄,절도,침입절도,"2,970","1,899",648,"1,144",107,117,0,0,0,889,626,121,2,140,65,0,0
8,2018년,형법범,재산범죄,사기,사기의 소계[입력치],"278,907","70,997","6,196","34,889","29,912","2,732",0,0,1,"143,344","45,896","91,813",23,"5,612","58,848","2,985",0
9,2018년,형법범,재산범죄,사기,보험사기방지특별법,"5,966","2,418",90,624,"1,704",31,0,0,0,"3,091","1,983","1,082",0,26,424,2,0
10,2018년,형법범,재산범죄,사기,부당이득,61,9,1,6,2,0,0,0,0,51,0,50,0,1,1,0,0
11,2018년,형법범,재산범죄,사기,사기,"267,113","67,087","6,018","33,762","27,307","2,657",0,0,1,"137,529","42,214","89,774",21,"5,520","56,885","2,954",0
12,2018년,형법범,재산범죄,사기,전기통신금융사기피해금환급에관한특별법,"2,502",401,46,173,182,0,0,0,0,"1,223",908,299,0,16,872,6,0
13,2018년,형법범,재산범죄,사기,컴퓨터등사용사기,"2,383",744,40,310,394,42,0,0,0,"1,019",600,384,2,33,564,14,0
14,2018년,형법범,재산범죄,사기,편의시설부정이용,882,338,1,14,323,2,0,0,0,431,191,224,0,16,102,9,0
15,2018년,형법범,재산범죄,배임,배임의 소계[입력치],"6,781","1,522",78,989,455,0,0,0,0,"4,906",354,"4,372",0,180,261,92,0
16,2018년,형법범,재산범죄,배임,배임,"5,676","1,029",36,656,337,0,0,0,0,"4,332",211,"3,975",0,146,245,70,0
17,2018년,형법범,재산범죄,배임,배임수재,804,337,36,224,77,0,0,0,0,447,119,300,0,28,10,10,0
18,2018년,형법범,재산범죄,배임,배임증재,301,156,6,109,41,0,0,0,0,127,24,97,0,6,6,12,0
19,2018년,형법범,재산범죄,손괴,손괴의 소계[입력치],"36,194","11,202",196,"1,921","9,085",271,"1,663",0,2,"22,074","14,170","6,704",266,934,964,18,0
20,2018년,형법범,재산범죄,손괴,손괴,"36,191","11,199",196,"1,918","9,085",271,"1,663",0,2,"22,074","14,170","6,704",266,934,964,18,0
21,2018년,형법범,재산범죄,손괴,손괴치사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2018년,형법범,재산범죄,손괴,손괴치상,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2018년,형법범,재산범죄,장물,장물,"1,698",495,42,135,318,109,0,0,0,"1,044",646,371,1,26,38,12,0
24,2018년,형법범,재산범죄,횡령,횡령,"32,862","8,408",291,"2,910","5,207",392,0,0,0,"21,729","8,520","12,573",5,631,"2,077",256,0
25,2018년,형법범,강력범죄(흉악),강력범죄(흉악)의 계[입력치],강력범죄(흉악)의 계[입력치],"34,317","16,556","3,208","9,108","4,240","1,369",54,2,30,"15,241","5,647","8,909",54,631,"1,011",54,0
26,2018년,형법범,강력범죄(흉악),살인,살인의 소계[입력치],859,668,575,86,7,2,2,0,1,163,27,77,1,58,23,0,0
27,2018년,형법범,강력범죄(흉악),살인,살인(기수),347,253,217,36,0,2,0,0,0,76,2,34,0,40,16,0,0
28,2018년,형법범,강력범죄(흉악),살인,"살인(미수, 예비, 음모, 방조)",512,415,358,50,7,0,2,0,1,87,25,43,1,18,7,0,0
29,2018년,형법범,강력범죄(흉악),강도,강도의 소계[입력치],"1,139",807,501,267,39,71,0,0,0,209,39,133,1,36,46,6,0
30,2018년,형법범,강력범죄(흉악),강도,강도,696,476,275,178,23,37,0,0,0,150,31,96,0,23,33,0,0
31,2018년,형법범,강력범죄(흉악),강도,강도강간/강제추행,14,12,8,4,0,0,0,0,0,1,0,0,0,1,0,1,0
32,2018년,형법범,강력범죄(흉악),강도,강도살인,26,21,19,2,0,0,0,0,0,0,0,0,0,0,3,2,0
33,2018년,형법범,강력범죄(흉악),강도,강도상해,381,278,183,80,15,34,0,0,0,56,8,35,1,12,10,3,0
34,2018년,형법범,강력범죄(흉악),강도,강도치사,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2018년,형법범,강력범죄(흉악),강도,강도치상,16,14,10,3,1,0,0,0,0,2,0,2,0,0,0,0,0
36,2018년,형법범,강력범죄(흉악),방화,방화의 소계[입력치],"1,306",706,260,388,58,49,14,0,0,525,340,140,1,44,12,0,0
37,2018년,형법범,강력범죄(흉악),방화,방화치사,16,8,8,0,0,0,0,0,0,8,1,1,0,6,0,0,0
38,2018년,형법범,강력범죄(흉악),방화,방화치상,18,13,9,4,0,0,0,0,0,4,0,1,0,3,1,0,0
39,2018년,형법범,강력범죄(흉악),방화,일반방화,"1,272",685,243,384,58,49,14,0,0,513,339,138,1,35,11,0,0
40,2018년,형법범,강력범죄(흉악),성폭력,성폭력의 소계[입력치],"31,013","14,375","1,872","8,367","4,136","1,247",38,2,29,"14,344","5,241","8,559",51,493,930,48,0
41,2018년,형법범,강력범죄(흉악),성폭력,간음,348,141,62,73,6,19,0,1,0,151,6,137,2,6,35,1,0
42,2018년,형법범,강력범죄(흉악),성폭력,강간,"5,590","2,307",743,"1,424",140,209,21,0,1,"2,860",147,"2,626",4,83,176,16,0
43,2018년,형법범,강력범죄(흉악),성폭력,"강간등(강간,준강간,간음,강제추행,준강제추행)",244,139,53,78,8,11,0,0,0,87,8,67,1,11,6,1,0
44,2018년,형법범,강력범죄(흉악),성폭력,강간등살인,6,5,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0
45,2018년,형법범,강력범죄(흉악),성폭력,강간등상해,209,168,110,49,9,2,1,0,0,32,4,23,0,5,6,0,0
46,2018년,형법범,강력범죄(흉악),성폭력,강간등치사,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2018년,형법범,강력범죄(흉악),성폭력,강간등치상,427,282,118,141,23,5,2,0,0,130,23,100,0,7,8,0,0
48,2018년,형법범,강력범죄(흉악),성폭력,강제추행,"15,404","7,241",478,"4,475","2,288",387,13,0,27,"7,379","3,045","3,996",34,304,331,26,0
49,2018년,형법범,강력범죄(흉악),성폭력,공중밀집장소 추행,"1,476",724,37,324,363,21,0,0,0,707,394,300,0,13,22,2,0
50,2018년,형법범,강력범죄(흉악),성폭력,성적목적의 장소침입,589,247,19,120,108,45,0,0,0,279,114,160,2,3,18,0,0
51,2018년,형법범,강력범죄(흉악),성폭력,카메라등 이용촬영,"5,245","2,458",200,"1,475",783,455,1,1,1,"2,103","1,138",917,3,45,224,2,0
52,2018년,형법범,강력범죄(흉악),성폭력,통신매체 이용음란,"1,419",618,12,198,408,93,0,0,0,605,358,231,5,11,103,0,0
53,2018년,형법범,강력범죄(흉악),성폭력,특수강도강간등,51,40,31,9,0,0,0,0,0,10,4,2,0,4,1,0,0
54,2018년,형법범,강력범죄(폭력),강력범죄(폭력)의 계[입력치],강력범죄(폭력)의 계[입력치],"310,843","83,309","2,860","19,937","60,512","6,512","17,721",1,319,"198,961","38,835","26,773","1,751","131,602","3,731",289,0
55,2018년,형법범,강력범죄(폭력),폭행,폭행의 소계[입력치],"217,995","42,812",541,"7,164","35,107","2,606","13,214",1,259,"157,540","17,452","13,822","1,176","125,090","1,400",163,0
56,2018년,형법범,강력범죄(폭력),폭행,폭행,"215,886","41,865",497,"6,934","34,434","2,572","13,076",1,258,"156,576","16,837","13,629","1,152","124,958","1,380",158,0
57,2018년,형법범,강력범죄(폭력),폭행,폭행치사,81,60,34,26,0,0,0,0,0,17,1,8,0,8,4,0,0
58,2018년,형법범,강력범죄(폭력),폭행,폭행치상,"2,028",887,10,204,673,34,138,0,1,947,614,185,24,124,16,5,0
59,2018년,형법범,강력범죄(폭력),상해,상해의 소계[입력치],"62,705","30,956","1,358","9,785","19,813","2,333","2,653",0,32,"25,709","16,979","5,439",459,"2,832",960,62,0
60,2018년,형법범,강력범죄(폭력),상해,상해,"62,627","30,892","1,311","9,769","19,812","2,333","2,653",0,32,"25,700","16,978","5,432",459,"2,831",955,62,0
61,2018년,형법범,강력범죄(폭력),상해,상해치사,78,64,47,16,1,0,0,0,0,9,1,7,0,1,5,0,0
62,2018년,형법범,강력범죄(폭력),약취와 유인,악취와 유인의 소계[입력치],245,88,38,44,6,2,0,0,0,144,35,106,2,1,10,1,0
63,2018년,형법범,강력범죄(폭력),약취와 유인,국외이송,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2018년,형법범,강력범죄(폭력),약취와 유인,부녀매매,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2018년,형법범,강력범죄(폭력),약취와 유인,수수/은닉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2018년,형법범,강력범죄(폭력),약취와 유인,약취/유인,240,84,37,42,5,2,0,0,0,143,34,106,2,1,10,1,0
67,2018년,형법범,강력범죄(폭력),약취와 유인,"약취와유인상해,치상,살인,치사",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
68,2018년,형법범,강력범죄(폭력),약취와 유인,인신매매,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
69,2018년,형법범,강력범죄(폭력),체포와 감금,체포와 감금의 소계[입력치],"2,198",658,122,262,274,102,42,0,0,"1,337",257,992,25,63,50,9,0
70,2018년,형법범,강력범죄(폭력),체포와 감금,감금,"1,975",563,80,222,261,80,39,0,0,"1,245",229,938,20,58,39,9,0
71,2018년,형법범,강력범죄(폭력),체포와 감금,감금치사,7,1,1,0,0,0,0,0,0,6,0,2,0,4,0,0,0
72,2018년,형법범,강력범죄(폭력),체포와 감금,감금치상,130,76,39,33,4,10,1,0,0,38,20,15,3,0,5,0,0
73,2018년,형법범,강력범죄(폭력),체포와 감금,체포,73,15,2,4,9,12,2,0,0,40,8,29,2,1,4,0,0
74,2018년,형법범,강력범죄(폭력),체포와 감금,체포치사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2018년,형법범,강력범죄(폭력),체포와 감금,체포치상,13,3,0,3,0,0,0,0,0,8,0,8,0,0,2,0,0
76,2018년,형법범,강력범죄(폭력),공갈,공갈,"6,105","1,480",286,680,514,"1,050",4,0,1,"2,563","1,099","1,366",7,91,973,34,0
77,2018년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)","폭력행위등(단체등의구성,활동)",753,385,100,254,31,18,0,0,0,322,49,224,4,45,27,1,0
78,2018년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","폭력행위등(손괴,강요,주거침입등)","2,515",675,5,133,537,193,2,0,0,"1,606",713,810,45,38,38,1,0
79,2018년,형법범,강력범죄(폭력),협박,협박,"18,327","6,255",410,"1,615","4,230",208,"1,806",0,27,"9,740","2,251","4,014",33,"3,442",273,18,0
80,2018년,형법범,위조범죄,위조범죄의 계[입력치],위조범죄의 계[입력치],"16,013","4,271",336,"1,971","1,964",437,0,0,0,"9,911","2,577","6,519",9,806,"1,223",171,0
81,2018년,형법범,위조범죄,문서,문서,"14,269","3,992",314,"1,753","1,925",424,0,0,0,"8,879","2,088","6,253",9,529,818,156,0
82,2018년,형법범,위조범죄,유가증권인지우표,유가증권인지우표,267,53,2,41,10,6,0,0,0,180,21,119,0,40,22,6,0
83,2018년,형법범,위조범죄,인장,인장,461,192,8,158,26,3,0,0,0,220,88,121,0,11,39,7,0
84,2018년,형법범,위조범죄,통화,통화,"1,016",34,12,19,3,4,0,0,0,632,380,26,0,226,344,2,0
85,2018년,형법범,공무원범죄,공무원범죄의 계[입력치],공무원범죄의 계[입력치],"3,446",740,173,456,111,0,0,0,0,"2,648",303,"2,262",18,65,40,18,0
86,2018년,형법범,공무원범죄,수뢰,수뢰,944,433,132,245,56,0,0,0,0,493,206,271,2,14,9,9,0
87,2018년,형법범,공무원범죄,증뢰,증뢰,377,211,32,143,36,0,0,0,0,162,64,94,0,4,4,0,0
88,2018년,형법범,공무원범죄,직권남용,직권남용,"1,232",83,8,62,13,0,0,0,0,"1,122",33,"1,048",16,25,18,9,0
89,2018년,형법범,공무원범죄,직무유기,직무유기,893,13,1,6,6,0,0,0,0,871,0,849,0,22,9,0,0
90,2018년,형법범,풍속범죄,풍속범죄의 계[입력치],풍속범죄의 계[입력치],"21,840","9,832",415,"1,313","8,104",50,0,0,0,"11,241","8,652","2,018",409,162,666,51,0
91,2018년,형법범,풍속범죄,도박과 복표,도박과 복표의 소계[입력치],"18,895","8,424",371,921,"7,132",16,0,0,0,"9,875","8,102","1,374",255,144,530,50,0
92,2018년,형법범,풍속범죄,도박과 복표,도박,"18,895","8,424",371,921,"7,132",16,0,0,0,"9,875","8,102","1,374",255,144,530,50,0
93,2018년,형법범,풍속범죄,도박과 복표,복표,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2018년,형법범,풍속범죄,공연음란,공연음란,"2,154","1,227",41,334,852,34,0,0,0,772,479,264,16,13,120,1,0
95,2018년,형법범,풍속범죄,신앙,신앙,791,181,3,58,120,0,0,0,0,594,71,380,138,5,16,0,0
96,2018년,형법범,과실범죄,과실범죄의 계[입력치],과실범죄의 계[입력치],"9,617","3,413",30,913,"2,470",25,7,0,2,"5,752","2,081","2,063",16,"1,592",405,13,0
97,2018년,형법범,과실범죄,과실치사상,과실치사상의 소계[입력치],"2,788",696,4,47,645,11,7,0,2,"2,022",102,395,14,"1,511",50,0,0
98,2018년,형법범,과실범죄,과실치사상,과실치사,49,20,3,13,4,0,0,0,0,25,6,19,0,0,4,0,0
99,2018년,형법범,과실범죄,과실치사상,과실치상,"2,739",676,1,34,641,11,7,0,2,"1,997",96,376,14,"1,511",46,0,0
100,2018년,형법범,과실범죄,업무상과실치사상,업무상과실치사상의 소계[입력치],"4,887","2,203",23,799,"1,381",3,0,0,0,"2,353",783,"1,501",1,68,316,12,0
101,2018년,형법범,과실범죄,업무상과실치사상,업무상과실치사,"1,804","1,167",22,535,610,0,0,0,0,507,103,385,0,19,130,0,0
102,2018년,형법범,과실범죄,업무상과실치사상,업무상과실치상,"3,083","1,036",1,264,771,3,0,0,0,"1,846",680,"1,116",1,49,186,12,0
103,2018년,형법범,과실범죄,실화,실화,"1,942",514,3,67,444,11,0,0,0,"1,377","1,196",167,1,13,39,1,0
104,2018년,형법범,기타형법범죄,기타형법범죄의 계[입력치],기타형법범죄의 계[입력치],"109,193","42,706","1,623","14,992","26,091",575,41,0,18,"61,059","12,295","36,413",758,"11,593","4,508",286,0
105,2018년,형법범,기타형법범죄,유기,유기의 소계[입력치],211,51,5,45,1,0,1,0,18,137,22,109,0,6,4,0,0
106,2018년,형법범,기타형법범죄,유기,유기,178,40,0,39,1,0,1,0,18,119,20,94,0,5,0,0,0
107,2018년,형법범,기타형법범죄,유기,유기치사,31,11,5,6,0,0,0,0,0,16,2,13,0,1,4,0,0
108,2018년,형법범,기타형법범죄,유기,유기치상,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
109,2018년,형법범,기타형법범죄,공무방해,공무방해의 소계[입력치],"12,144","10,252",754,"7,939","1,559",99,0,0,0,"1,642",431,"1,076",11,124,146,5,0
110,2018년,형법범,기타형법범죄,공무방해,공무방해,"12,003","10,137",709,"7,872","1,556",96,0,0,0,"1,621",424,"1,065",11,121,144,5,0
111,2018년,형법범,기타형법범죄,공무방해,공무방해치사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2018년,형법범,기타형법범죄,공무방해,공무방해치상,141,115,45,67,3,3,0,0,0,21,7,11,0,3,2,0,0
113,2018년,형법범,기타형법범죄,공안을해하는죄,공안을해하는죄,268,205,70,126,9,0,0,0,0,33,4,26,1,2,30,0,0
114,2018년,형법범,기타형법범죄,교통방해,교통방해,"1,508",576,6,78,492,1,0,0,0,903,271,615,2,15,28,0,0
115,2018년,형법범,기타형법범죄,권리행사방해,권리행사방해,"14,257","2,485",22,808,"1,655",46,5,0,0,"9,512",441,"8,740",17,314,"2,045",164,0
116,2018년,형법범,기타형법범죄,내란의죄,내란의죄,9,0,0,0,0,0,0,0,0,1,0,1,0,0,2,6,0
117,2018년,형법범,기타형법범죄,도주와범인은닉,도주와범인은닉,629,437,43,219,175,7,0,0,0,176,46,107,19,4,5,4,0
118,2018년,형법범,기타형법범죄,명예,명예,"32,394","9,065",23,470,"8,572",193,5,0,0,"21,541","1,910","8,998",454,"10,179","1,576",14,0
119,2018년,형법범,기타형법범죄,무고,무고,"5,482","1,446",60,712,674,5,0,0,0,"3,932",41,"3,826",7,58,80,19,0
120,2018년,형법범,기타형법범죄,비밀침해,비밀침해,91,18,0,1,17,0,0,0,0,72,6,39,1,26,1,0,0
121,2018년,형법범,기타형법범죄,신용업무경매,신용업무경매,"27,107","12,651",474,"3,239","8,938",48,4,0,0,"14,007","5,460","7,888",89,570,349,48,0
122,2018년,형법범,기타형법범죄,위증과증거인멸,위증과증거인멸,"3,051","1,181",17,604,560,3,0,0,0,"1,798",24,"1,728",1,45,56,13,0
123,2018년,형법범,기타형법범죄,음용수에관한죄,음용수에관한죄,22,1,0,0,1,0,0,0,0,21,3,18,0,0,0,0,0
