No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,기소(소계),기소(소계),기소(소계),기소(소계),소년보호송치,가정보호송치,성매매보호송치,아동보호송치,불기소(소계),불기소(소계),불기소(소계),불기소(소계),불기소(소계),기소중지,참고인중지,공소보류
No,자료시점,분류,분류,분류,계,기소(소계),구공판 구속,구공판 불구속,구약식,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,불기소(소계),기소유예,혐의없음,죄가안됨,공소권없음,기소중지,참고인중지,공소보류
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,2018년,계,계[입력치],계[입력치],"52,278","6,168",728,"3,222","2,218","19,648",131,0,3,"25,964","15,939","4,255",126,"5,644",337,27,0
2,2018년,형법범,형법범계[입력치],형법범계[입력치],"42,525","5,024",674,"2,907","1,443","16,565",131,0,2,"20,521","12,286","3,704",120,"4,411",258,24,0
3,2018년,형법범,재산범죄,재산범죄의 계[입력치],"21,828","2,875",439,"1,820",616,"9,602",12,0,0,"9,177","7,378","1,661",25,113,149,13,0
4,2018년,형법범,재산범죄,배임,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
5,2018년,형법범,재산범죄,사기,"5,739","1,222",134,690,398,"2,397",0,0,0,"2,033","1,182",814,3,34,80,7,0
6,2018년,형법범,재산범죄,손괴,826,69,2,25,42,243,12,0,0,501,350,138,2,11,1,0,0
7,2018년,형법범,재산범죄,장물,235,11,1,5,5,101,0,0,0,123,100,23,0,0,0,0,0
8,2018년,형법범,재산범죄,절도,"14,078","1,520",300,"1,079",141,"6,581",0,0,0,"5,910","5,218",609,19,64,61,6,0
9,2018년,형법범,재산범죄,횡령,948,52,2,21,29,280,0,0,0,609,528,76,1,4,7,0,0
10,2018년,형법범,강력범죄(흉악),강력범죄(흉악)의 계[입력치],"3,083",599,154,403,42,"1,296",4,0,2,"1,147",622,500,12,13,31,4,0
11,2018년,형법범,강력범죄(흉악),강도,159,92,50,41,1,49,0,0,0,17,8,8,0,1,1,0,0
12,2018년,형법범,강력범죄(흉악),방화,99,3,0,3,0,47,0,0,0,49,40,9,0,0,0,0,0
13,2018년,형법범,강력범죄(흉악),살인,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
14,2018년,형법범,강력범죄(흉악),성폭력,"2,824",504,104,359,41,"1,200",4,0,2,"1,080",573,483,12,12,30,4,0
15,2018년,형법범,강력범죄(폭력),강력범죄(폭력)의 계[입력치],"14,776","1,324",72,562,690,"4,856",115,0,0,"8,415","3,261","1,202",68,"3,884",59,7,0
16,2018년,형법범,강력범죄(폭력),공갈,"1,571",160,18,102,40,961,0,0,0,429,257,157,2,13,19,2,0
17,2018년,형법범,강력범죄(폭력),상해,"4,182",602,28,280,294,"1,779",10,0,0,"1,776","1,348",276,27,125,15,0,0
18,2018년,형법범,강력범죄(폭력),약취와 유인,9,4,4,0,0,1,0,0,0,4,0,4,0,0,0,0,0
19,2018년,형법범,강력범죄(폭력),체포와 감금,176,30,10,14,6,63,0,0,0,81,26,49,1,5,2,0,0
20,2018년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",42,8,0,8,0,15,0,0,0,17,4,10,2,1,1,1,0
21,2018년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",401,13,1,3,9,165,0,0,0,223,176,46,1,0,0,0,0
22,2018년,형법범,강력범죄(폭력),폭행,"7,942",467,6,134,327,"1,737",92,0,0,"5,622","1,388",572,35,"3,627",20,4,0
23,2018년,형법범,강력범죄(폭력),협박,453,40,5,21,14,135,13,0,0,263,62,88,0,113,2,0,0
24,2018년,형법범,위조범죄,위조범죄의 계[입력치],894,57,4,41,12,318,0,0,0,516,453,43,0,20,3,0,0
25,2018년,형법범,위조범죄,문서,853,48,2,34,12,306,0,0,0,496,451,41,0,4,3,0,0
26,2018년,형법범,위조범죄,유가증권인지우표,11,4,1,3,0,6,0,0,0,1,0,1,0,0,0,0,0
27,2018년,형법범,위조범죄,인장,9,2,0,2,0,3,0,0,0,4,2,1,0,1,0,0,0
28,2018년,형법범,위조범죄,통화,21,3,1,2,0,3,0,0,0,15,0,0,0,15,0,0,0
29,2018년,형법범,공무원범죄,공무원범죄의 계[입력치],1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
30,2018년,형법범,공무원범죄,수뢰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2018년,형법범,공무원범죄,증뢰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2018년,형법범,공무원범죄,직권남용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2018년,형법범,공무원범죄,직무유기,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
34,2018년,형법범,풍속범죄,풍속범죄의 계[입력치],210,13,0,7,6,49,0,0,0,146,80,13,0,53,2,0,0
35,2018년,형법범,풍속범죄,기타음란행위,89,4,0,3,1,33,0,0,0,52,45,6,0,1,0,0,0
36,2018년,형법범,풍속범죄,도박과 복표,121,9,0,4,5,16,0,0,0,94,35,7,0,52,2,0,0
37,2018년,형법범,풍속범죄,신앙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2018년,형법범,과실범죄,과실범죄의 계[입력치],121,5,0,1,4,20,0,0,0,96,57,12,1,26,0,0,0
39,2018년,형법범,과실범죄,과실치사상,47,3,0,1,2,7,0,0,0,37,6,5,0,26,0,0,0
40,2018년,형법범,과실범죄,실화,68,2,0,0,2,10,0,0,0,56,48,7,1,0,0,0,0
41,2018년,형법범,과실범죄,업무상과실치사상,6,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0
42,2018년,형법범,기타형법범죄,기타형법범죄의 계[입력치],"1,612",151,5,73,73,424,0,0,0,"1,023",435,272,14,302,14,0,0
43,2018년,형법범,기타형법범죄,공무방해,170,41,2,34,5,77,0,0,0,51,28,18,0,5,1,0,0
44,2018년,형법범,기타형법범죄,공안을해하는죄,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,2018년,형법범,기타형법범죄,교통방해,4,2,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0
46,2018년,형법범,기타형법범죄,권리행사방해,77,4,1,2,1,34,0,0,0,39,20,18,0,1,0,0,0
47,2018년,형법범,기타형법범죄,내란의죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2018년,형법범,기타형법범죄,도주와범인은닉,26,4,0,3,1,6,0,0,0,16,12,4,0,0,0,0,0
49,2018년,형법범,기타형법범죄,명예,756,49,0,10,39,120,0,0,0,578,163,111,12,292,9,0,0
50,2018년,형법범,기타형법범죄,무고,22,3,0,2,1,1,0,0,0,18,0,18,0,0,0,0,0
51,2018년,형법범,기타형법범죄,비밀침해,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2018년,형법범,기타형법범죄,신용업무경매,139,23,0,8,15,35,0,0,0,80,35,45,0,0,1,0,0
53,2018년,형법범,기타형법범죄,위증과증거인멸,8,4,0,3,1,0,0,0,0,4,0,4,0,0,0,0,0
54,2018년,형법범,기타형법범죄,유기,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2018년,형법범,기타형법범죄,음용수에관한죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2018년,형법범,기타형법범죄,일수와수리에관한죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2018년,형법범,기타형법범죄,주거침입,406,18,1,8,9,150,0,0,0,236,177,53,2,4,2,0,0
58,2018년,형법범,기타형법범죄,기타,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2018년,특별법범,특별법범의 계[입력치],특별법범의 계[입력치],"9,753","1,144",54,315,775,"3,083",0,0,1,"5,443","3,653",551,6,"1,233",79,3,0
60,2018년,특별법범,개발제한구역의지정및관리에관한특별조치법,개발제한구역의지정및관리에관한특별조치법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2018년,특별법범,개인정보보호법,개인정보보호법,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
62,2018년,특별법범,건축법,건축법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2018년,특별법범,게임산업진흥에관한법률,게임산업진흥에관한법률,68,3,1,1,1,4,0,0,0,60,51,9,0,0,1,0,0
64,2018년,특별법범,경범죄처벌법,경범죄처벌법,56,8,0,0,8,27,0,0,0,21,18,3,0,0,0,0,0
65,2018년,특별법범,공유재산및물품관리법,공유재산및물품관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2018년,특별법범,공인중개사법,공인중개사법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2018년,특별법범,공중위생관리법,공중위생관리법,3,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
68,2018년,특별법범,공직선거법,공직선거법,9,1,0,1,0,1,0,0,0,7,5,2,0,0,0,0,0
69,2018년,특별법범,교통사고처리특례법,교통사고처리특례법,"2,456",266,3,62,201,544,0,0,0,"1,633",628,45,0,960,13,0,0
70,2018년,특별법범,국민체육진흥법,국민체육진흥법,6,2,0,0,2,3,0,0,0,1,0,1,0,0,0,0,0
71,2018년,특별법범,국토의계획및이용에관한법률,국토의계획및이용에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2018년,특별법범,근로기준법,근로기준법,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,2018년,특별법범,근로자퇴직급여보장법,근로자퇴직급여보장법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2018년,특별법범,농수산물의원산지표시에관한법률,농수산물의원산지표시에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2018년,특별법범,농지법,농지법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2018년,특별법범,대기환경보전법,대기환경보전법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2018년,특별법범,대부업등의등록및금융이용자보호에관한법률,대부업등의등록및금융이용자보호에관한법률,13,0,0,0,0,1,0,0,0,12,9,3,0,0,0,0,0
78,2018년,특별법범,도로교통법,도로교통법,"4,431",506,5,103,398,"1,709",0,0,0,"2,164","1,855",160,2,147,50,2,0
79,2018년,특별법범,도로법,도로법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2018년,특별법범,마약류관리에관한법률,마약류관리에관한법률,24,5,3,2,0,5,0,0,0,14,8,6,0,0,0,0,0
81,2018년,특별법범,병역법,병역법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2018년,특별법범,부정경쟁방지및영업비밀보호에관한법률,부정경쟁방지및영업비밀보호에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2018년,특별법범,부정수표단속법,부정수표단속법,7,6,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
84,2018년,특별법범,사행행위등규제및처벌특례법,사행행위등규제및처벌특례법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2018년,특별법범,산림자원의조성및관리에관한법률,산림자원의조성및관리에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2018년,특별법범,산업안전보건법,산업안전보건법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2018년,특별법범,산지관리법,산지관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2018년,특별법범,상표법,상표법,7,2,0,0,2,1,0,0,0,4,3,1,0,0,0,0,0
89,2018년,특별법범,선박안전법,선박안전법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2018년,특별법범,선박직원법,선박직원법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2018년,특별법범,성매매알선등행위의처벌에관한법률,성매매알선등행위의처벌에관한법률,23,6,0,3,3,6,0,0,0,10,7,2,0,1,1,0,0
92,2018년,특별법범,수산업법,수산업법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2018년,특별법범,수산자원관리법,수산자원관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2018년,특별법범,물환경보전법,물환경보전법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2018년,특별법범,식품위생법,식품위생법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2018년,특별법범,아동·청소년의성보호에관한법률(성매수등),아동·청소년의성보호에관한법률(성매수등),81,33,11,21,1,27,0,0,0,21,0,21,0,0,0,0,0
97,2018년,특별법범,아동·청소년의성보호에관한법률(음란물등),아동·청소년의성보호에관한법률(음란물등),95,7,1,3,3,48,0,0,0,40,33,6,1,0,0,0,0
98,2018년,특별법범,아동복지법,아동복지법,44,8,0,7,1,23,0,0,1,12,7,2,0,3,0,0,0
99,2018년,특별법범,여객자동차운수사업법,여객자동차운수사업법,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
100,2018년,특별법범,여신전문금융업법,여신전문금융업법,70,7,1,4,2,26,0,0,0,37,33,3,0,1,0,0,0
101,2018년,특별법범,외국환거래법,외국환거래법,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
102,2018년,특별법범,의료법,의료법,5,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0
103,2018년,특별법범,자동차관리법,자동차관리법,217,22,0,0,22,52,0,0,0,143,107,36,0,0,0,0,0
104,2018년,특별법범,자동차손해배상보장법,자동차손해배상보장법,332,32,0,4,28,113,0,0,0,183,150,22,0,11,4,0,0
105,2018년,특별법범,저작권법,저작권법,25,0,0,0,0,1,0,0,0,22,7,9,0,6,2,0,0
106,2018년,특별법범,전자금융거래법,전자금융거래법,218,62,13,23,26,52,0,0,0,104,69,31,0,4,0,0,0
107,2018년,특별법범,정보통신망이용촉진및정보보호등에관한법률,정보통신망이용촉진및정보보호등에관한법률,399,37,2,17,18,108,0,0,0,252,117,61,2,72,2,0,0
108,2018년,특별법범,조세범처벌법,조세범처벌법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2018년,특별법범,주민등록법,주민등록법,391,16,0,4,12,104,0,0,0,270,235,31,0,4,0,1,0
110,2018년,특별법범,청소년보호법,청소년보호법,357,22,0,7,15,72,0,0,0,262,226,31,0,5,1,0,0
111,2018년,특별법범,축산물위생관리법,축산물위생관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2018년,특별법범,출입국관리법,출입국관리법,3,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0
113,2018년,특별법범,통신비밀보호법,통신비밀보호법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2018년,특별법범,특가법(도주차량),특가법(도주차량),65,11,1,5,5,28,0,0,0,26,13,6,0,7,0,0,0
115,2018년,특별법범,폐기물관리법,폐기물관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2018년,특별법범,풍속영업의규제에관한법률,풍속영업의규제에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2018년,특별법범,학원의설립운영및과외교습에관한법률,학원의설립운영및과외교습에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2018년,특별법범,예비군법,예비군법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2018년,특별법범,화물자동차운수사업법,화물자동차운수사업법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2018년,특별법범,기타특별법,기타특별법,343,76,11,43,22,124,0,0,0,139,70,58,1,10,4,0,0
